"j","n","method","ISE","time_seconds"
4,200,"LG",0.000124330799902923,492.362349033356
5,100,"WK",0.00738632811349017,15.6323738098145
5,100,"LG",0.0327360707222,211.129118442535
5,200,"WK",0.000459002893029253,22.1737380027771
5,200,"LG",9.20765227575847e-05,193.824256181717
6,100,"WK",0.0861471699859828,13.7668724060059
6,100,"LG",0.134605825076529,356.259367227554
6,200,"WK",0.0352336284139285,30.2980139255524
6,200,"LG",0.0720545875437923,878.48681473732
1,100,"WK",0.000158643082306966,14.0887224674225
1,100,"LG",0.0014010790464159,724.647279262543
1,200,"WK",0.000340701510793355,28.4550652503967
1,200,"LG",0.000806299807012949,1017.43171286583
2,100,"WK",0.000891162723020269,83.5743012428284
2,100,"LG",0.00137092024106292,414.186792612076
2,200,"WK",0.00123122702149603,119.492714643478
2,200,"LG",0.00177676045489336,1001.64811110497
3,100,"WK",0.0144818826108415,73.766197681427
3,100,"LG",0.00373353596041769,1069.97854113579
3,200,"WK",0.00721749533778682,68.6283676624298
3,200,"LG",0.000183405296931623,609.619912147522
4,100,"WK",7.73423144920341e-12,9.47815799713135
4,100,"LG",0.202185408271652,568.856110572815
4,200,"WK",7.20698966239445e-12,21.6084821224213
4,200,"LG",0.142872909755477,850.364144563675
5,100,"WK",0.000294479725183751,9.41007137298584
5,100,"LG",5.48666903976859e-05,55.8406369686127
5,200,"WK",0.000348729819015032,22.2506098747253
5,200,"LG",8.07232535293662e-05,187.189688444138
6,100,"WK",0.0058503905432149,15.6681931018829
6,100,"LG",0.107372739681753,356.632001161575
6,200,"WK",0.000440727233530624,22.4128663539886
6,200,"LG",0.116743841569935,784.736293315887
1,100,"WK",0.000264421238966122,21.5609035491943
1,100,"LG",0.00107218490068145,636.253206968307
1,200,"WK",0.000213306506961735,24.7829308509827
1,200,"LG",0.00128121561964351,1844.26992344856
2,100,"WK",0.000881123052011811,11.6226422786713
2,100,"LG",0.00192843318658089,657.875886678696
2,200,"WK",0.000773909575305495,155.848451375961
2,200,"LG",0.00110756908739909,1542.84345912933
3,100,"WK",1.46417612086336e-09,9.81522154808044
3,100,"LG",1.30649029287173e-08,57.9339456558228
3,200,"WK",0.000151515676733498,80.0246293544769
3,200,"LG",6.75458352516904e-05,1666.19562649727
4,100,"WK",0.329259102612051,36.8715784549713
4,100,"LG",0.00204661255149525,258.927421569824
4,200,"WK",0.0213744401425042,52.8460574150085
4,200,"LG",0.000314476584800339,490.608654022217
5,100,"WK",0.126996976162819,26.5190925598145
5,100,"LG",8.23144053073041e-05,58.0744216442108
5,200,"WK",0.000142173143800295,21.4889669418335
5,200,"LG",6.23357950849675e-05,184.134363174438
6,100,"WK",0.000427939220834577,18.3951296806335
6,100,"LG",0.000235183173255276,56.4694221019745
6,200,"WK",0.0551543049959792,222.879135847092
6,200,"LG",0.000136542956258595,182.607733249664
1,100,"WK",0.000289449181349886,13.4846205711365
1,100,"LG",0.000821491847933059,842.683537721634
1,200,"WK",0.000745666253105666,162.503266096115
1,200,"LG",0.000743075266918502,896.299808979034
2,100,"WK",0.00428665406814882,23.6129920482635
2,100,"LG",0.00143574218941013,939.923676967621
2,200,"WK",0.00104238931320848,172.721933603287
2,200,"LG",0.0016803276084836,1500.7705988884
3,100,"WK",0.00155564719964396,24.0673353672028
3,100,"LG",1.43256566838847e-09,59.7691950798035
3,200,"WK",0.00359225727387756,131.165690660477
3,200,"LG",1.4235424957882e-09,188.905830383301
4,100,"WK",7.73864245112149e-12,9.64915084838867
4,100,"LG",7.69212202970235e-12,56.781699180603
4,200,"WK",7.7383188045192e-12,21.6635136604309
4,200,"LG",0.000146106373338566,490.695769548416
